	tt	loss_trn
0	0	0.233982
1	1	0.020338
2	2	0.01384
3	3	0.01163
4	4	0.01051
5	5	0.009939
6	6	0.009493
7	7	0.008512
8	8	0.008717
9	9	0.008315
10	10	0.008221
11	11	0.007939
12	12	0.007472
13	13	0.007716
14	14	0.007463
15	15	0.007802
16	16	0.007493
17	17	0.007387
18	18	0.007472
19	19	0.007291
20	20	0.007257
21	21	0.007208
22	22	0.007341
23	23	0.006779
24	24	0.006796
25	25	0.00682
26	26	0.007097
27	27	0.007503
28	28	0.006667
29	29	0.006752
30	30	0.006852
31	31	0.00704
32	32	0.006963
33	33	0.006832
34	34	0.006729
35	35	0.006826
36	36	0.006724
37	37	0.007014
38	38	0.006968
39	39	0.007375
40	40	0.007104
41	41	0.006946
42	42	0.006746
43	43	0.006673
44	44	0.006783
45	45	0.006983
46	46	0.006504
47	47	0.006741
48	48	0.006818
49	49	0.006505
50	50	0.006784
51	51	0.006488
52	52	0.006753
53	53	0.006451
54	54	0.006567
55	55	0.006519
56	56	0.006609
57	57	0.006563
58	58	0.006593
59	59	0.006762
60	60	0.006372
61	61	0.006826
62	62	0.0067
63	63	0.006692
64	64	0.00683
65	65	0.00634
66	66	0.006619
67	67	0.006373
68	68	0.006273
69	69	0.006375
70	70	0.006839
71	71	0.006838
72	72	0.006565
73	73	0.006418
74	74	0.006645
75	75	0.006804
76	76	0.006486
77	77	0.006409
78	78	0.006678
79	79	0.006063
80	80	0.006443
81	81	0.006492
82	82	0.00632
83	83	0.006714
84	84	0.006647
85	85	0.006389
86	86	0.00654
87	87	0.006461
88	88	0.006606
89	89	0.006523
90	90	0.006321
91	91	0.006323
92	92	0.006377
93	93	0.006312
94	94	0.006478
95	95	0.006488
96	96	0.00634
97	97	0.006603
98	98	0.006703
99	99	0.006305
100	100	0.00623
101	101	0.006507
102	102	0.006627
103	103	0.006254
104	104	0.006931
105	105	0.006431
106	106	0.006596
107	107	0.006463
108	108	0.006411
109	109	0.00645
110	110	0.00663
111	111	0.006371
112	112	0.006577
113	113	0.006488
114	114	0.006343
115	115	0.006556
116	116	0.006253
117	117	0.006312
118	118	0.006417
119	119	0.00625
120	120	0.00658
121	121	0.006055
122	122	0.006211
123	123	0.006368
124	124	0.006677
125	125	0.006207
126	126	0.006482
127	127	0.006408
128	128	0.006418
129	129	0.006315
130	130	0.006227
131	131	0.006183
132	132	0.006443
133	133	0.006144
134	134	0.006208
135	135	0.006311
136	136	0.006232
137	137	0.006441
138	138	0.006353
139	139	0.00638
140	140	0.006215
141	141	0.006062
142	142	0.006253
143	143	0.006318
144	144	0.006307
145	145	0.006193
146	146	0.006313
147	147	0.006138
148	148	0.006563
149	149	0.006351
