	tt	loss_trn
0	0	0.260674
1	1	0.035904
2	2	0.022134
3	3	0.018791
4	4	0.017222
5	5	0.01652
6	6	0.015903
7	7	0.014702
8	8	0.014975
9	9	0.014364
10	10	0.014458
11	11	0.013832
12	12	0.013506
13	13	0.013831
14	14	0.013438
15	15	0.013804
16	16	0.013471
17	17	0.013184
18	18	0.013408
19	19	0.013163
20	20	0.013056
21	21	0.012814
22	22	0.013138
23	23	0.012617
24	24	0.012527
25	25	0.012629
26	26	0.012823
27	27	0.013158
28	28	0.012444
29	29	0.012522
30	30	0.012458
31	31	0.012727
32	32	0.012608
33	33	0.012544
34	34	0.012476
35	35	0.012715
36	36	0.012408
37	37	0.012674
38	38	0.012746
39	39	0.013125
40	40	0.012912
41	41	0.012611
42	42	0.012357
43	43	0.012303
44	44	0.012314
45	45	0.012767
46	46	0.0122
47	47	0.012445
48	48	0.012444
49	49	0.012198
50	50	0.012408
51	51	0.012044
52	52	0.012406
53	53	0.012149
54	54	0.012132
55	55	0.011987
56	56	0.012294
57	57	0.012258
58	58	0.012201
59	59	0.012495
60	60	0.011923
61	61	0.01237
62	62	0.012361
63	63	0.012259
64	64	0.012474
65	65	0.011957
66	66	0.012402
67	67	0.011901
68	68	0.011833
69	69	0.012036
70	70	0.012416
71	71	0.012334
72	72	0.012126
73	73	0.012004
74	74	0.012281
75	75	0.012381
76	76	0.012041
77	77	0.011992
78	78	0.012243
79	79	0.01166
80	80	0.011883
81	81	0.012271
82	82	0.011941
83	83	0.012228
84	84	0.012272
85	85	0.011922
86	86	0.012143
87	87	0.012087
88	88	0.012213
89	89	0.012125
90	90	0.011863
91	91	0.011761
92	92	0.01197
93	93	0.011792
94	94	0.01208
95	95	0.012032
96	96	0.011894
97	97	0.012228
98	98	0.012262
99	99	0.011812
100	100	0.011831
101	101	0.012152
102	102	0.012277
103	103	0.011755
104	104	0.012699
105	105	0.01196
106	106	0.012102
107	107	0.011877
108	108	0.011814
109	109	0.012054
110	110	0.012232
111	111	0.011925
112	112	0.012151
113	113	0.012034
114	114	0.011893
115	115	0.012269
116	116	0.011811
117	117	0.011829
118	118	0.01197
119	119	0.01186
120	120	0.012228
121	121	0.011562
122	122	0.011746
123	123	0.011881
124	124	0.01222
125	125	0.011808
126	126	0.012196
127	127	0.012014
128	128	0.012011
129	129	0.011943
130	130	0.011756
131	131	0.01156
132	132	0.012007
133	133	0.011719
134	134	0.011754
135	135	0.011866
136	136	0.011744
137	137	0.011955
138	138	0.011835
139	139	0.011915
140	140	0.011737
141	141	0.011472
142	142	0.011647
143	143	0.011918
144	144	0.011789
145	145	0.011632
146	146	0.011891
147	147	0.011704
148	148	0.012002
149	149	0.011806
